Id,Label,timeset,0,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,pageranks
1BhW8oncwi7X8s4erxE4hD4Gj2zUgp5Mqw,1BhW8oncwi7X8s4erxE4hD4Gj2zUgp5Mqw,,Bitcoin Wallet,5,0.279589,0.291195,0,0,0,0,0.000252
17YYZSMJveAz59H3wJLvejL5zaaLdTTq5V,17YYZSMJveAz59H3wJLvejL5zaaLdTTq5V,,Bitcoin Wallet,5,0.280423,0.292525,0,71,0,0,0.000261
13CJsWRB6hd92rbnLAnAfSxbQ3tqy15LDQ,13CJsWRB6hd92rbnLAnAfSxbQ3tqy15LDQ,,Bitcoin Wallet,5,0.269879,0.275069,0,23,0,0,0.000216
1FBPZQPP5tFtrP3PcsVpS7DKWRxk8DJcjS,1FBPZQPP5tFtrP3PcsVpS7DKWRxk8DJcjS,,Bitcoin Wallet,5,0.270444,0.276076,0,30,0,0,0.000264
139BFDaXkH9F29KhCmSKbfGqpPPwCNWno9,139BFDaXkH9F29KhCmSKbfGqpPPwCNWno9,,Bitcoin Wallet,4,0.368778,0.381793,2066,138,0,0,0.000468
16ksXfVJrckyh74bmg2VwWUycpWrYhkvPC,16ksXfVJrckyh74bmg2VwWUycpWrYhkvPC,,Bitcoin Wallet,4,0.368778,0.381793,2066,139,0,0,0.000468
1GGW84KYPaKbtucEduMFksraFyNQbVjQ2t,1GGW84KYPaKbtucEduMFksraFyNQbVjQ2t,,Bitcoin Wallet,5,0.273594,0.281398,0,1,0,0,0.000262
15Mqy9Tc3tXGaicKerE21PRzjJj9cEecUD,15Mqy9Tc3tXGaicKerE21PRzjJj9cEecUD,,Bitcoin Wallet,5,0.276152,0.285631,0,12,0,0,0.000261
1GpicGfdk6Dkm6qLrASyEodzQB3n9ut1Wf,1GpicGfdk6Dkm6qLrASyEodzQB3n9ut1Wf,,Bitcoin Wallet,4,0.368778,0.381793,2066,140,0,0,0.000468
1P13uroyyTYkR8MsrALwA1sc6c3bfhgoMu,1P13uroyyTYkR8MsrALwA1sc6c3bfhgoMu,,Bitcoin Wallet,4,0.368778,0.381793,2066,194,0,0,0.000468
16MiZVA3Ls9new1qunDvLTr2sxgCaKnJkZ,16MiZVA3Ls9new1qunDvLTr2sxgCaKnJkZ,,Bitcoin Wallet,5,0.271723,0.278254,0,17,0,0,0.000263
3BMpquRjuCNhrV7MVaoayzPq4nJVyZxBpH,3BMpquRjuCNhrV7MVaoayzPq4nJVyZxBpH,,Bitcoin Wallet,5,0.270727,0.27656,0,160,0,0,0.000263
2.11.10/parazit1/onion,2.11.10/parazit1/onion,,Hidden Service,5,0.273739,0.281785,0,21,1,1,0.000274
17LRS9puF8sGJsThcf3YrfEw3NFuWS5WTQ,17LRS9puF8sGJsThcf3YrfEw3NFuWS5WTQ,,Bitcoin Wallet,5,0.269984,0.275254,0,23,0,0,0.000179
1HxuMw5Gz3KcDrZk9VhQNNkiQtEwkGg91P,1HxuMw5Gz3KcDrZk9VhQNNkiQtEwkGg91P,,Bitcoin Wallet,4,0.368778,0.381793,2066,141,0,0,0.000468
17gDy4dB8x5xnRKUY651NVXnxkxF1pMkGQ,17gDy4dB8x5xnRKUY651NVXnxkxF1pMkGQ,,Bitcoin Wallet,5,0.276152,0.285631,0,12,0,0,0.000261
1NHuAPWSA8YQnrwPfg3SWdovg2GuviqTa,1NHuAPWSA8YQnrwPfg3SWdovg2GuviqTa,,Bitcoin Wallet,5,0.278459,0.289381,0,8,0,0,0.00026
1DyQtNYhr83nuv3cUozhxu8GkQjHiPdEMP,1DyQtNYhr83nuv3cUozhxu8GkQjHiPdEMP,,Bitcoin Wallet,5,0.269456,0.274383,0,142,0,0,0.000272
1GML6Uo9Xjjx7HurCAju82Uhy2WhUPhBN3,1GML6Uo9Xjjx7HurCAju82Uhy2WhUPhBN3,,Bitcoin Wallet,5,0.270585,0.276318,0,78,0,0,0.000264
19aAewzW84dEQjKs9fihxzy2GRcJEL7bJ6,19aAewzW84dEQjKs9fihxzy2GRcJEL7bJ6,,Bitcoin Wallet,4,0.368778,0.381793,2066,11,0,0,0.000468
16JeG544yx3BvwUHUhFjCTy8Hu8fzMkyfs,16JeG544yx3BvwUHUhFjCTy8Hu8fzMkyfs,,Bitcoin Wallet,5,0.278459,0.289381,0,8,0,0,0.00026
1DQiqPhbXKhckm277msgkiSeSb8B4GvEms,1DQiqPhbXKhckm277msgkiSeSb8B4GvEms,,Bitcoin Wallet,5,0.269456,0.274383,0,143,0,0,0.000272
1BjQNZNjZ1aA9J2BbY3ZQcWiq1GQK3DXA4,1BjQNZNjZ1aA9J2BbY3ZQcWiq1GQK3DXA4,,Bitcoin Wallet,5,0.279589,0.291195,0,0,0,0,0.000252
